ID,Name,Surname,Age,GPA
836218,Mary Clayton,Johnson,23,2.89
665974,Teresa Hicks,Fowler,61,1.52
764909,Michael Wiggins,Johnston,78,1.16
449659,Nathan Gray,Morris,77,2.79
948263,Richard Austin,Henderson,17,1.69
967879,Perry Hancock,Phillips,96,2.31
837682,Jason Hughes,Rice,56,0.06
827447,Kimberly Rodriguez,Newman,64,1.06
570155,Joel Wilkinson,Davis,43,2.29
784019,Katherine Smith,Le,91,2.27
296729,Donald Johnston,Stone,58,2.82
585172,Jacqueline Galvan,Rodriguez,55,3.96
244100,Terri Cook,Mullins,76,1.4
672312,Mr. Robert Perez DDS,Sanchez,22,2.66
761518,Mindy Thomas,Johnson,11,2.04
279695,Todd Hall,Cox,93,3.03
588743,Donald Rodriguez,Rodriguez,36,2.67
310468,Chad Woods,Chan,72,0.83
314481,Molly Hardin,Zamora,29,0.82
791559,Joshua Doyle,Campbell,15,1.14
750562,Jason Reynolds MD,Newman,91,2.7
159800,Cameron Kirby,Fox,33,3.92
342866,Melanie Barnes,Tucker,37,1.65
104369,Jason Baker,Campbell,45,2.2
710234,Michael Shepard,Reid,40,2.54
844101,David Walker,Morgan,98,0.7
911742,Rodney Montgomery,Hernandez,89,2.38
676891,Kelly Tucker,Ryan,81,2.45
702244,Ryan Rowe,Bell,70,1.02
724710,Timothy Collins,Hunter,47,0.27
995049,Lisa Love,Soto,86,3.95
648820,Denise Cervantes,Bernard,71,3.72
515622,Lisa Bowen,Ramos,31,2.86
226555,Brent Brown,Hernandez,92,3.2
139292,Adam Davis,Martinez,66,0.64
822925,Melissa Fitzgerald,Morrison,16,3.47
583598,Megan Snow,Turner,98,2.07
881030,Charles Schmidt,Burch,65,0.19
228362,Stephanie Smith,Barnes,89,1.41
584250,Joshua Tucker,Melton,50,1.05
660787,Nicholas Woods,Lynch,28,1.98
376792,Victoria Lopez,Rodgers,17,3.74
182566,Mr. Michael Farmer,Evans,28,2.17
760993,Andrea Brooks,Brown,99,3.52
643953,Adam Pineda,Griffith,27,1.54
105689,Noah Reilly,Carrillo,66,1.56
476448,Pamela Ferguson,Jimenez,98,0.85
841619,Crystal Chavez,Ritter,92,3.04
869839,Craig Newman,Chase,71,3.71
777831,Lance Williams,Green,36,1.65
937393,John Hicks,Chapman,96,2.49
282968,Steven Hernandez,Charles,76,0.85
306520,Christina Adams,Krause,62,1.4
434450,Cynthia Johnson,Scott,32,2.47
769577,Zachary Smith,Johnson,32,3.4
237911,David Crawford,Pratt,25,1.95
504869,Carrie Smith,Smith,60,0.23
635867,Bradley Leonard,Cole,17,0.73
962007,Whitney Jones,Sanchez,17,0.52
770267,Stephanie Larson,Padilla,78,3.16
444672,Amy Edwards,Greer,28,2.73
532308,Savannah Parks,Peterson,97,3.54
740159,Grace Clark,Flores,77,2.49
886496,Katelyn Lucas,Young,58,1.14
713727,Emily Long,Mason,82,2.15
766106,David Baxter,Rice,60,2.71
350322,Carolyn Fowler,Thornton,60,3.95
919807,Andrea Carpenter,Ford,58,1.57
636776,Tiffany Gonzales,Carson,94,0.54
990607,George Williams,Barker,95,2.95
105760,Christina Bailey,Williams,47,0.42
323282,Kevin Graham,Hickman,77,3.68
994115,Leslie Snyder,Jones,100,3.53
319303,Heidi Moreno,Parker,53,3.53
488825,Alexander Thompson,Hall,98,3.54
481924,Stephanie Carlson,Gibbs,44,0.68
350037,Amber Grimes,Burke,21,0.03
914232,Thomas Mckee,Wolfe,36,1.86
597398,Matthew Robbins,Long,92,3.18
940190,Randy Thomas,Costa,90,2.47
139875,Daniel Donaldson,Willis,78,0.38
866075,Brian Frank,Sharp,44,0.18
498495,Ashley Kennedy,Gibbs,97,0.03
244420,Brooke Johnson,Riley,22,3.77
565851,Kristin Pena,Paul,79,1.98
579399,James Thomas,Drake,98,0.28
536042,Tara Walls,Cabrera,82,1.71
647594,Miranda Lopez,Turner,42,3.12
984632,Kevin Richardson,Bond,93,0.05
695548,Steven Carter,Vaughn,50,3.8
687376,Russell Andersen,Oliver,88,0.69
686254,Kimberly Snyder,Smith,23,0.87
747424,Eric Dyer,Stone,13,2.4
193211,Melody Smith,Wood,100,0.07
421613,Linda Diaz,Cruz,85,1.37
625146,Tammy Davis,Gonzalez,24,1.51
555212,Samuel Preston MD,Simmons,74,1.47
752225,Christopher Holland,Rodriguez,30,1.83
951260,Candice Bauer,Harris,25,3.16
232147,Amy Smith,Hunt,89,2.33
616044,Holly Rivera,Scott,70,3.92
780349,Kenneth Wagner,Rodriguez,13,0.52
226198,David Gibbs,Taylor,89,1.04
158044,Jennifer Waters,Allen,82,3.93
805538,Brian Vargas,Carroll,68,0.19
103864,Kathy Coleman PhD,Rodriguez,38,0.48
703052,Aaron Morris,Smith,69,0.78
219801,Jennifer Ortiz,Cantrell,83,1.7
888479,Heather Little,Castillo,56,1.91
518014,Jennifer Brown,Warren,59,0.46
238857,Maria Parker,Jones,88,2.86
413065,Lindsey Gomez,Morrison,67,3.29
864312,Christopher Miller,Robertson,45,3.71
279866,Patrick Jennings,Wilson,75,3.55
291429,Michelle Lucas,Fry,42,2.53
469442,Linda Simmons,Brown,81,1.11
479194,Cynthia Williams,Reid,96,1.14
501353,Karen Kelly,Powers,95,3.27
161298,Michael Craig,Wright,51,3.37
182798,Kevin Mclaughlin,Hurst,19,2.39
626268,Russell Herrera,Thompson,73,2.04
889419,Seth Adams,Hansen,55,0.45
309668,Courtney Contreras,Bailey,70,3.72
149506,Christopher Hernandez,Sexton,84,3.94
786316,Shawn Johnson,Garcia,95,3.94
782556,Taylor Patton,Johnson,15,1.36
798975,Miranda Koch,Contreras,19,3.52
815840,Stephanie King,Mack,68,3.93
391230,Patrick Orr,Price,44,2.73
306709,Jared Willis,Reeves,64,3.63
847596,Kevin West,Bond,34,3.97
914666,Joshua Mathis,Walker,67,0.88
733348,Cynthia Myers,Moore,10,0.67
731266,Edward Williams,Meadows,44,3.08
275792,Adam Adams,Galloway,31,1.67
406778,Stephen Reyes,Richardson,32,0.69
407799,Robert Morrison,Leon,98,2.03
771570,Kelly Marshall,Pruitt,76,1.3
503563,Michael Johnson,Russell,44,3.47
313490,Tyler Bryant,Rodriguez,44,0.26
744225,Carla Sloan,Morris,80,1.64
396487,Christine Rocha,Brown,69,3.85
609645,Dustin Parrish,Brown,37,0.62
782601,Nathan Thomas,Garrett,11,0.35
421431,Andrea Rivera,Petersen,11,3.24
184142,Joanna Donovan,Boyd,47,3.71
424821,Heather Brown,Morales,66,3.8
265344,John Harrington,Morton,82,2.16
106152,Sandra Serrano,Dixon,95,3.98
150668,Joshua Johnson,Cox,22,2.97
763953,William Martinez,Herrera,55,3.63
708801,Anthony Snyder,Underwood,40,1.28
110148,Samuel Mendez,Norman,12,2.1
908345,William Cole,Foley,79,2.61
436308,Amanda Dixon,Rodriguez,52,0.36
873249,Amy Adams,Henry,59,1.16
172280,Nicholas Barr,Carpenter,36,3.71
369169,Carla Jackson,Ochoa,72,2.69
951849,Christopher Turner,Hubbard,48,2.28
946426,Ashley Hudson,Cunningham,76,3.12
514622,Kathryn Warren,Hernandez,69,3.62
723692,Megan Cook,Moran,79,3.56
276828,Brian Welch,Burns,98,3.42
972809,Sandra Andrews,Matthews,36,3.52
496140,Hannah Burns,Lee,60,3.43
160458,Diane Rivera,Miles,47,1.54
100777,Jessica Wheeler,Torres,59,3.67
379625,John Ryan,Nielsen,45,1.11
253458,Charles Rivera,Mason,71,2.56
222329,Joseph Hill,Blair,37,0.39
959031,Jamie Barker,Hansen,54,3.87
701936,Suzanne Johnson,Rodriguez,93,2.92
775033,Lindsey Reid,Hawkins,62,3.84
731995,Christopher Mosley,Cruz,37,2.78
775594,Darren Brown,Atkinson,47,0.71
408587,Anthony Wade,Smith,76,1.05
423623,Catherine Russell,Flores,96,0.41
111138,Cynthia Fuentes,Walker,51,2.16
532836,Eric Rodriguez,Skinner,87,3.85
975191,James Figueroa,Velez,33,1.16
207144,Christy Johnson,Williams,73,1.79
349939,Terry Williams,Cooper,46,0.54
876512,Cheryl Lee,Mcintyre,95,2.8
830797,Michael Vance,Lutz,41,2.21
990948,Sarah Snyder,Velazquez,65,2.77
328249,Walter Thompson,Perez,62,3.78
770085,Ebony Townsend,West,21,2.51
837291,Jacob Romero,Barker,51,0.89
856715,Debra Williams,Douglas,14,2.85
887716,Julie Rodriguez,Frey,96,1.79
147166,Megan James,Morgan,64,2.88
361019,Justin Mcbride,Robertson,21,1.21
163557,Gregory Baker,Harmon,40,2.67
721389,Felicia Ware,Solomon,57,2.72
634712,Nathan Carey,Herrera,83,0.86
749639,Kyle Wilkinson,Cisneros,70,1.05
529449,Maria Reyes,Schmidt,99,0.8
358848,Ashley Ellis,Harrison,41,0.44
212321,James Russell,Valencia,17,2.63
275446,Patricia Smith,Schultz,81,2.32
978983,Ryan Abbott,Beasley,98,1.66
899734,Angela Munoz,Thomas,65,3.88
495283,Elaine Boyd,Smith,39,3.43
703179,Lisa Andrews,Choi,37,2.58
652273,Katherine Holmes,Mendoza,76,0.84
729807,Chad Davis Jr.,Montes,95,0.09
945004,Margaret Williams,Fitzgerald,45,3.09
865033,Sherry Moore,Miller,71,0.4
428216,Jacob Burton,Singh,28,1.59
446232,Alexander Manning,Williams,35,0.2
643575,Derek Williams Jr.,Martin,30,1.64
258631,Veronica Payne,Riley,14,3.27
314084,Richard Hill,Franklin,20,2.35
482130,Laura Curtis,Thompson,52,3.35
177031,Tracy Ingram,Glover,87,2.86
350466,Christopher Dominguez III,Silva,54,0.39
654362,Karen Hamilton,Moore,14,0.82
661071,Lisa Johnson,Brown,21,2.17
733949,Devon Daniel,Greene,71,2.5
964059,Laurie Pollard,Mitchell,50,2.47
832579,Michelle Mcdonald,Williams,37,2.88
640232,Sabrina Brown,Marsh,41,0.34
682241,Lisa Russell,Reyes,91,0.54
154121,Miguel Stewart,Murray,67,3.44
926002,Christopher Sawyer DVM,Thomas,58,3.85
954371,Tammy Holden,Joseph,82,2.54
773467,Amy Miller,Johnson,51,0.73
488518,Randy Davidson,Wilson,33,2.47
396091,Barbara Bowen,Brown,88,2.68
433560,Jose Hoover,Jefferson,47,0.56
805833,Jeffrey Whitehead,Alvarez,88,0.65
651441,Jonathon Leon,Lopez,83,1.06
847293,Nichole Hickman,Kramer,39,0.39
797929,Stacey Hutchinson,Hines,98,1.21
123385,Todd Grimes,Griffin,37,2.81
575424,Tanya Potter,Douglas,25,0.32
899541,Mr. Anthony Hunt,King,100,1.49
667808,Amy Obrien,Smith,26,0.08
852002,Edward Brown,Garcia,89,2.7
531959,David Campbell,Williams,81,4.0
869769,Juan Clements,Cox,62,3.98
848453,Mark Smith,Lee,21,1.91
129040,Tiffany Garcia,Brown,25,2.72
639587,Anthony Levine,Wood,86,1.27
800158,Shane Lawson,Combs,67,1.66
681328,Oscar Graves,Kim,27,2.49
155228,Marcus Pierce,Richardson,30,3.94
277561,Kristin Hogan,Kelly,33,2.09
379680,Joshua Herrera,Johnson,21,1.31
929150,Cathy Winters,Hughes,50,3.71
512544,Matthew Rhodes,Herman,96,0.44
873775,Raymond Jordan,Henderson,63,3.99
799162,Anthony Estrada PhD,Riley,30,2.35
734986,Amy Mays,Lang,99,3.1
423399,Andrew Rasmussen,Michael,47,2.47
129851,Sarah Cooper,Johnson,61,3.79
518170,Randall Wade,Andrade,41,3.25
621980,Rachel Chen,Moore,38,2.34
168996,Daniel Davenport,Valentine,67,3.53
960433,Brian Lewis,Obrien,84,0.97
349540,Steve Harris,Watson,69,1.88
574952,Ian Hernandez,Cook,53,2.67
607168,Lori Peters,Garcia,18,2.96
859882,Jennifer Stuart,Cunningham,90,2.83
961082,Lisa Dawson,Francis,70,3.8
812336,Michael Cox,Mayer,73,1.23
117251,Heidi Moore,Hammond,25,3.82
964864,Benjamin Shaffer,Vance,18,2.87
834059,Brandon Small,Gutierrez,19,2.21
828461,Brandon Wagner,Hoffman,55,1.79
900708,Natasha Allen,Mckinney,11,2.16
576131,Jeremiah Leach,Perez,42,2.86
156227,William Thomas,Schultz,63,2.19
110855,Heather Nguyen,Smith,57,3.38
605444,Emily Silva,Miller,51,2.82
214930,Theresa Stephens,Beard,15,3.06
346519,Nathan Duke,Pena,84,1.99
296684,William Ruiz,Williams,22,1.29
152407,Henry Hall,Thomas,39,2.02
217119,Elizabeth Carr,Smith,79,3.21
252895,Nathan Jones,Green,24,3.68
122924,Thomas Benitez,Horton,53,1.01
679134,Jennifer Haynes,Kaufman,44,0.52
539452,Andrew Foley,Scott,81,3.83
967753,Michael Green,Gray,74,2.96
375060,Susan Wilson,Newman,63,1.37
380824,Aaron Ward,Hernandez,81,3.9
444623,Raymond Gonzalez,Harper,60,2.21
519367,Loretta Tran,Acosta,25,0.65
660394,Daniel Guerrero,Ramirez,85,0.22
742969,Kim Gonzalez,Graves,36,3.2
534218,Heather Roberts,Smith,73,2.71
958669,Kenneth Bishop,Lopez,37,1.72
244306,Courtney Watson,Cooper,12,3.32
193399,Paula Paul,Bailey,58,2.87
987902,David Hayes,Everett,24,0.65
363863,Carolyn Juarez,Bell,56,2.66
196139,Melanie Owen,White,99,3.74
365433,Amy Gonzalez,Lee,53,1.46
588463,Ronald Wise,Miller,41,1.83
718113,Erica Greer,Lawrence,99,1.78
188252,Amy Smith,Doyle,85,1.16
466204,Christian Tucker,Henderson,65,3.26
201855,Jason Bowen,Greer,60,3.87
636586,Sheila Patel,Jones,62,3.48
643280,Bridget Fox,Ward,29,1.72
443918,Mr. Nicholas Miller,Hanson,78,2.53
436802,Anthony Andrews,Smith,40,1.91
422572,Jeremy Wang,Turner,67,3.34
423811,Matthew Marshall,Rodriguez,54,3.63
837812,Vicki Ayers,Wiley,99,1.28
707703,Timothy Garcia,Smith,51,0.86
861647,Virginia Hawkins,Garrison,11,1.8
266389,Ashley Jensen,Schmidt,88,0.08
820484,Jamie Cook,Harrell,20,3.36
210355,Ronald Hughes,Sanchez,35,0.04
605166,Stephen Edwards,Reeves,79,3.13
242918,Kelly Roy,Soto,28,3.94
103874,Kyle Thomas,Holt,74,1.27
728774,Angel Bailey,Ward,25,1.71
360856,Michael Davis,Ray,59,3.34
567514,Trevor Ayala,Austin,95,1.38
567415,Nathaniel Jensen,Dunn,20,3.73
436753,Maria Nguyen,Clark,56,0.15
907125,Leslie Taylor,Collins,42,3.38
496572,Brandi Moon,Smith,53,3.61
677567,Matthew Hunter,Wallace,58,0.76
411472,Amy Carter,Nelson,70,3.83
499898,Jessica White,Garcia,53,3.35
533934,Jason James,Morris,11,3.88
554191,Nicole Rubio,Davis,75,3.56
611264,Abigail Smith,Reid,23,1.58
789274,Jason Hamilton,Stevenson,71,1.04
838644,Seth Day,Taylor,17,0.34
811850,Leonard Hart,Perez,55,0.1
429916,Victoria Davis,Navarro,39,1.82
885301,Shawn Tucker,Rose,11,2.96
787344,Shane Ford,Wilson,94,2.46
387483,Ashley Herrera,Sullivan,20,3.24
921484,Dr. Kevin Gallegos DVM,Oconnor,79,0.07
790089,Carla Decker,Diaz,99,2.89
940975,Riley Barber,Hill,49,2.87
149885,Aaron Ferguson,Campbell,77,1.73
665266,Joseph Mahoney,Esparza,83,0.28
224974,Tom Perkins,Wolf,50,2.94
991354,Victoria Phillips,Morrison,22,2.04
723620,Jeanette Alexander,Brown,76,3.33
886519,Nicole Gray,Gill,22,3.74
159627,Ann Johnson,Hart,82,3.53
365008,Stephen Castillo,Wright,54,3.08
974787,Kimberly Petty,Waller,97,2.18
813973,Sharon Owens,Nunez,56,1.31
634729,Angel Parker,Martinez,21,1.64
492474,Cody Garcia,Collins,96,3.15
961976,Ryan Browning,Lane,58,2.51
621387,Ricky Sparks,Gentry,100,3.97
676782,Nicholas Flores,Moore,19,0.67
142868,Melissa Mcdaniel,Jackson,48,1.61
435723,Joseph Hall,Mcintyre,59,2.26
307017,Kelly Howard,Cooper,72,0.57
506192,Robert Hall,Sanders,53,2.61
745082,Michael Perkins,Bowen,77,1.57
514143,Patricia Bentley,Carter,14,3.41
514078,Sean Calhoun,Mason,83,3.64
146865,Christopher Doyle,Terry,57,2.26
211645,Jon Huerta,Boone,76,2.86
521356,Carmen Miller,Aguilar,89,3.01
909676,Amy Taylor,Reyes,83,3.83
768977,Phillip Gill,Perry,57,1.99
424965,Paul Carroll,Martin,23,1.95
680351,Michelle Kane,Olson,79,0.44
277260,Natalie Gaines,Ray,63,1.46
460516,Nathan Riley,Ferguson,32,3.96
722973,Debbie French,Miller,67,1.72
185797,Anthony Collins,Turner,40,3.19
416483,Brandon Lawrence,Powell,25,0.39
949807,Damon Nichols,Newton,62,1.07
528607,Kathryn Walton,Combs,31,2.44
101769,Megan Gonzales,Kelly,53,3.81
845032,Amy Fox,Savage,76,1.83
953558,Zachary Bates,Huber,80,1.86
299112,Jeremy Jones,Henderson,17,1.93
460777,Sarah Valencia,Snyder,22,1.42
359041,Donald Hart,Carroll,75,0.71
650412,Calvin Rogers,Brown,47,3.51
792919,Melissa Mitchell,Edwards,12,0.57
861383,Randy Campos,Thompson,75,0.85
302832,Mr. John Potts Jr.,Coleman,76,3.94
462598,Michael Martin,Phillips,47,2.92
288875,Michael Johnson,Smith,34,1.85
322838,Kim Campbell,Rice,46,3.48
495311,Juan Hull,Townsend,42,0.02
228867,Matthew Ortiz,Salas,71,2.63
254272,Beverly Dixon,Thomas,56,3.01
150897,Teresa Weeks,Adams,10,0.94
391259,Michael Stokes,Thornton,75,0.08
237886,Jeffrey Beard,Compton,48,1.26
509976,Mr. Michael Nguyen,Oneal,41,0.85
797915,Jason Williams,Cook,57,3.89
518903,Michael Garrett,Crawford,90,1.99
730150,Angelica Boyle,Jackson,96,1.26
306793,Wanda Calderon,Flores,36,3.46
896427,Kelly Clark,Ford,34,0.09
452672,William Lewis,Rhodes,33,1.62
536358,James Smith,Zimmerman,86,0.79
818098,Gregory Olson,Myers,66,1.28
835410,Amy Shaffer,Winters,69,1.91
859550,Maria Rivera,Calderon,47,1.42
249029,James Lawson,Herring,67,3.82
380394,Allison Jackson,Gibson,86,3.97
922381,Angel Duffy,Smith,38,2.8
678468,Bradley Nichols,Gibson,79,3.5
596818,Alexis Schwartz,Anderson,74,3.29
912535,Jeremy Marks,Edwards,86,0.45
150160,Kaitlyn Sandoval,Young,31,1.67
867594,Stanley Lara,Cameron,95,3.88
554084,William Sanchez,Martin,79,0.52
920916,Michael Kelley,Collins,92,0.91
473001,Kathy Howell,Burton,48,1.24
265694,Lisa Robbins,Guzman,25,2.0
655286,Marie Herring,Walker,42,1.81
728171,Deborah Rogers,Johnson,80,3.51
562178,David Shepard,Wilkerson,85,3.65
158877,Rebecca Castillo,Savage,10,0.89
522219,Derek Ramos,Sanchez,32,3.04
267988,Tina Lewis,Moore,17,2.29
945169,Christopher Edwards Jr.,Gonzalez,65,0.94
779276,Mrs. Elizabeth Valenzuela,Fletcher,93,2.33
370910,James Molina,Lopez,34,1.37
340026,Stacey Roth,Cook,97,1.46
607699,Daniel Harris,Bonilla,35,2.91
912005,Devon Sanford,Lucas,34,2.48
562777,Jasmine Torres,Wright,15,2.74
506567,Virginia Terrell,Williams,92,2.83
877178,Melanie Smith,Herrera,71,3.39
968235,Christine Davis,Campbell,100,1.12
199879,Samantha Vaughn,Brown,74,2.79
134337,Amanda Singleton,Sims,45,1.05
115627,Bradley Gilbert,Guerra,89,0.26
773945,Sandra Torres,Palmer,16,2.74
920351,George Jackson,Duran,20,1.92
750180,Donna Lawrence,Hall,28,3.26
482340,Curtis Johnson,Long,15,3.64
662239,Paul Gibson,Hart,81,3.46
533451,Danny Wilkerson,Ware,28,4.0
303099,Angela Vasquez,Holmes,25,1.48
847527,Dr. Sheila Greene MD,Kramer,47,3.74
150294,Kendra Collins,Lamb,87,1.94
976008,Jennifer Orozco,Garcia,94,2.78
176816,Tom Snow,Yang,11,3.25
788169,Ashley Leon,Duncan,97,0.18
188651,Lisa Jackson,Beck,71,1.47
964019,Matthew Newton,Carr,58,3.83
135235,Erin Oliver,Bryant,62,1.39
151446,Virginia Booker,Barrett,61,0.88
991550,Troy Newton MD,Frederick,87,2.91
590231,Robert Maynard,Graham,34,0.28
176420,Alexander Rocha,Wilson,22,1.3
639655,Anthony Wheeler,Wallace,35,2.36
742605,Stephanie Jacobs,Simpson,97,3.32
410681,Natalie Schwartz,Delgado,79,1.1
524743,Robert Walker,Rodriguez,64,2.7
194459,Marissa Drake,Leonard,71,2.59
610314,John Collins,Hendricks,33,0.06
290528,Thomas Frazier,Fuentes,77,1.76
678997,Paul Simmons,Schneider,40,3.41
384467,Jacob Hughes,Crawford,73,1.7
106080,Alyssa Robinson,Brown,58,2.12
271723,Manuel Gardner,Price,55,2.52
631517,Christopher Hernandez,Obrien,58,2.94
389037,Ashley Brown,Smith,59,0.33
500616,Cathy Ruiz,Thompson,86,3.17
405269,Allison Clark,Terry,15,0.92
552577,Debbie Oneill,Austin,87,3.01
948144,George Davis,Smith,85,3.74
449260,Paul Miller,Calhoun,77,0.93
468954,Kelly Garcia,George,99,3.66
880608,Pamela Jacobs,Bell,86,3.17
967534,Connie Smith,Martinez,18,1.45
241690,Deborah Sanford,Daniel,80,2.07
622518,Andrea Estrada,Freeman,92,0.28
725397,Daniel Wade,Schultz,56,0.91
800386,Hannah Armstrong,Bryant,100,3.77
902634,Karen Williams,Schmidt,53,2.41
450690,John Anderson,Ramos,12,3.86
744275,Steven Cardenas,Rodgers,91,2.35
349984,John Munoz,Jones,26,2.77
573689,Patricia Clay,Luna,98,3.55
187485,Benjamin Lane,Hammond,73,0.58
498454,Lori Cross,Gordon,20,0.83
191643,Jessica Smith,Smith,64,0.01
505483,Tina Flores,Mcintosh,59,1.52
948506,Justin Mendoza,Davis,74,3.34
941204,Margaret Johns,Barr,57,0.63
885761,Raymond Olson,Shelton,77,2.97
115060,Laura Morris,Soto,28,3.12
503798,Dawn Quinn,Mahoney,57,3.06
842874,Tasha Manning,Patterson,84,2.44
422007,Michael Orr,Torres,36,3.55
511070,Michelle Simmons,Hunter,77,3.65
555217,Danielle Herring,Roberts,91,3.14
360542,Samuel Dunn,Mora,56,3.86
172311,Dustin Johnson,Wiggins,11,1.18
954342,Kathy Smith,Nelson,35,0.08
816928,Gregory Riley,Miller,63,1.83
538159,Michael Figueroa,Beck,52,1.49
869918,Melissa Moran,Garcia,28,2.32
863603,Courtney Love,Hoover,56,3.69
914804,Amy Collins,Owens,63,2.24
329603,Mark Williams,Maynard,60,3.63
384924,Jeffrey Lynch,Johnson,25,2.22
458364,Kevin Smith,Jones,89,1.73
829468,Gerald Flores,Weeks,89,1.25
306298,Connor Johnson,Mayer,24,1.14
162865,Jose Jimenez,Smith,89,2.46
841650,Caitlin Pierce,Oneill,27,1.82
191913,Victoria Perry MD,Robinson,56,2.24
148460,Mary Sanders,Hall,87,1.89
842190,Zachary Taylor,Davis,69,0.04
932457,Corey Sparks,Williams,12,3.11
129269,James Dudley,Baker,39,3.68
226221,Jesse Thompson,Harris,14,1.37
735238,Shawn Carter,Cox,54,1.9
943534,Oscar Jimenez,Singh,57,0.54
887082,Stephanie Kirk,Dean,84,1.17
830912,Kathryn Long,Morris,88,0.03
614884,Debra King,Bates,93,0.07
835644,Kathleen Buchanan,Riggs,80,1.69
190696,Gloria Mayo,Young,67,2.51
443332,Nicholas Shea,Tran,37,0.36
150764,Christopher Mitchell,Wilson,52,2.35
479390,James Baxter,Pena,34,0.43
708822,Sharon Baker,Webb,30,1.75
156612,Richard Lee,Reyes,25,3.07
581841,Jeremy Barry,Haynes,52,1.2
834150,Vickie White,Harper,12,0.35
676878,Nathan Ford,Williams,29,0.05
403781,William Porter,Holder,79,3.71
226109,Michael Perez,Charles,76,3.95
684977,Steven Martinez,Alvarado,55,1.99
905925,Chad Hale,Torres,97,0.97
216682,Brandon Ford,White,11,2.64
680141,Amanda Vargas,Gordon,51,0.5
925729,James Nguyen,Bryant,88,2.34
101059,Jessica Jones,Elliott,68,3.16
168580,Tricia Garcia,Taylor,10,2.53
461115,Alexis Smith DDS,Daugherty,36,0.02
279862,Laura Warren,Fields,95,2.05
156189,Kimberly Brooks,Simmons,60,0.31
161323,Austin Frazier,Hall,53,1.43
317378,Kristina Villanueva,Figueroa,10,0.02
791261,David Smith,Morgan,34,1.96
320311,Diane Barnes,Garcia,58,2.77
150876,Mr. Michael Weiss,Larson,12,2.27
904788,Angela Huerta,Graham,52,3.49
799566,Paula Reed,Berg,61,0.31
596848,Taylor Nichols Jr.,Rose,24,3.32
268648,Maria Smith,Sandoval,88,0.19
175832,Nicholas Rojas,Bailey,76,1.81
936302,Nicole Burns,Middleton,85,3.28
